"decile","count","Min_prob","max_prob","left_cnt","non_left_cnt"
10,127,0.891811019395786,0.993605426756377,127,0
9,128,0.830421035341792,0.891197649668889,128,0
8,126,0.779258044319245,0.830105711617931,126,0
7,127,0.712001256289217,0.776306939117437,127,0
6,126,0.656888281012325,0.711973475424275,126,0
5,127,0.574846504919844,0.65685409469498,127,0
4,126,0.502535163618093,0.574495466705678,40,86
3,127,0.421420189876079,0.50225132259082,0,127
2,127,0.353223889201253,0.421264708145194,0,127
1,127,0.3007208242132,0.352895288642733,0,127
